  ID;Type;Name;Step #;Steps;Expected
login.reg.0000;P;Регистрация нового пользователя;;;
;;RegistrationPositiveNewUser;1;Открыть https://open.kzn.ru/;Открыта главная
;;;2;Нажать Зарегистрироваться;Открыта форма регистрации
;;;3;Ввести timestampEmail, Enter;В сообщении есть текст msgRegistrationSucess
;;;3;Проверить почтовый ящик registeredEmail;Есть письмо от no-reply@opencity.pro с темой 'Регистрация'
;;;4;Открыть письмо, сравнить email с timestampEmail, сопировать пароль;email совпадают
;;;5;Открыть https://open.kzn.ru/;Открыта главная
;;;6;Нажать Войти;Открыта форма логина
;;;7;Ввести логин/пароль, Enter;Открыта https://open.kzn.ru/cabinet/
;;;8;Открыть https://open.kzn.ru/cabinet/myprofile;Открыта https://open.kzn.ru/cabinet/myprofile
;;;9;Кликнуть 'Удалить профиль';Сообщение 'Удалить профиль?'
;;;10;Кликнуть 'Отмена';Окно закрыто
;;;11;Открыть https://open.kzn.ru/cabinet/myprofile;Открыта https://open.kzn.ru/cabinet/myprofile
;;;12;Кликнуть 'Удалить профиль';Сообщение 'Удалить профиль?'
;;;13;Кликнуть 'Да, удалить';Сообщение msgProfileDeletionSuccess , переход на главную
login.reg.0001;N;Регистрация на уже зарегистрированный email;;;
;;;1;Открыть https://open.kzn.ru/;Открыта главная
;;;2;Нажать Зарегистрироваться;Открыта форма регистрации
;;;3;Ввести registeredEmail, Enter;В сообщении есть текст msgRegistrationEmailDuplicate
login.reg.0002;N;Регистрация не принимает невалидные email;;;
;;;1;Открыть https://open.kzn.ru/;Открыта главная
;;;2;Нажать Зарегистрироваться;Открыта форма регистрации
;;;3;Перебрать все invalidEmails, Enter;В сообщении есть текст msgRegistrationEmailInvalid
login.ent.0001;P;Вход с валидной парой логин/пароль;;;
;;loginPositiveRegisteredUser;1;Открыть https://open.kzn.ru/;Открыта главная
;;;2;Нажать Войти;Открыта форма логина
;;;3;Ввести registeredUserLogin, нажать Tab;Фокус переведён на поле пароля
;;;4;Ввести registeredUserPassword через ROT13;Открыта https://open.kzn.ru/cabinet/
;;;5;Сравнить email на странице c registeredUserLogin;Email совпадают
;;;6;Нажать 'Выход';Открыта главная
login.ent.0002;N;Вход с зарегистрированным email, но неправильным паролем;;;
;;loginNegativeRegisteredUserWrongPassword;1;Открыть https://open.kzn.ru/;Открыта главная
;;;2;Нажать Войти;Открыта форма логина
;;;3;Ввести registeredUserLogin, нажать Tab;Фокус переведён на поле пароля
;;;4;Ввести registeredUserPassword;Сообщение с msgLoginFail
login.ent.0003;N;Вход с невалидным email и паролем;;;
;;loginNegativeUnregisteredUser;1;Открыть https://open.kzn.ru/;Открыта главная
;;;2;Нажать Войти;Открыта форма логина
;;;3;Ввести unregisteredUserLogin, нажать Tab;Фокус переведён на поле пароля
;;;4;Ввести registeredUserPassword;Сообщение с msgLoginFail
login.ent.0003.1;P;Вход через сторонние сервисы: госуслуги;;;
;;;1;Открыть https://open.kzn.ru/;Открыта главная
;;;2;Нажать Войти;Открыта форма логина
;;;3;Кликнуть на Госуслуги;Открыта страница логина Госуслуг
;;;4;Закрыть госуслуги;Открыта главная с окном логина
login.ent.0003.2;P;Вход через сторонние сервисы: VK;;;
;;;1;Открыть https://open.kzn.ru/;Открыта главная
;;;2;Нажать Войти;Открыта форма логина
;;;3;Кликнуть на VK;Открыта страница логина VK
;;;4;Закрыть VK;Открыта главная с окном логина
login.ent.0003.3;P;Вход через сторонние сервисы: Я;;;
;;;1;Открыть https://open.kzn.ru/;Открыта главная
;;;2;Нажать Войти;Открыта форма логина
;;;3;Кликнуть на Я;Открыта страница логина Я
;;;4;Закрыть Я;Открыта главная с окном логина
login.ent.0003.4;P;Вход через сторонние сервисы: OK;;;
;;;1;Открыть https://open.kzn.ru/;Открыта главная
;;;2;Нажать Войти;Открыта форма логина
;;;3;Кликнуть на ОК;Открыта страница логина ОК
;;;4;Закрыть OK;Открыта главная с окном логина
login.rec.0001;P;Восстановление пароля с валидным email и ключом;;;
;;;1;Открыть https://open.kzn.ru/;Открыта главная
;;;2;Нажать Зарегистрироваться;Открыта форма регистрации
;;;3;Ввести timestampEmail, Enter;В сообщении есть текст msgRegistrationSucess
;;;3;Проверить почтовый ящик registeredEmail;Есть письмо от no-reply@opencityro с темой 'Регистрация'
;;;4;Открыть письмо, сравнить email с timestampEmail, скопировать пароль;email совпадают
;;;5;Открыть https://open.kzn.ru/;Открыта главная
;;;6;Нажать Войти;Открыта форма логина
;;;7;Ввести логин/пароль, Enter;Открыта https://open.kzn.ru/cabinet/
;;;8;Открыть https://open.kzn.ru/recover;Открыта страница восстановления пароля
;;;9;Ввести зарегистрированный email и нажать enter;В сообщении есть msgRecoverRegisteredEmail
;;;10;Проверить почтовый ящик;Есть письмо от no-reply@opencityro с темой 'Подтверждение восстановления пароля'
;;;11;Открыть ссылку из письма;Открыта страница с адресом вида https://open.kzn.ru/passwordrecovery?username=[EMAIL]&code=[UUID без дефисов]
;;;12;Ввести новый пароль 12345678, Enter;В сообщении есть текст msgRecoverSuccess
;;;13;Проверить зарегистрированый почтовый ящик;Есть письмо от no-reply@opencityro с темой 'Восстановление пароля'
;;;14;Сравнить пароль в  письме с 12345678;Пароли совпадают
;;;15;Открыть https://open.kzn.ru/cabinet/myprofile;Открыта https://open.kzn.ru/cabinet/myprofile
;;;16;Кликнуть 'Удалить профиль';Сообщение 'Удалить профиль?'
;;;17;Кликнуть 'Отмена';Окно закрыто
;;;18;Открыть https://open.kzn.ru/cabinet/myprofile;Открыта https://open.kzn.ru/cabinet/myprofile
;;;19;Кликнуть 'Удалить профиль';Сообщение 'Удалить профиль?'
;;;20;Кликнуть 'Да, удалить';Сообщение msgProfileDeletionSuccess , переход на главную
login.rec.0002;N;Восстановление пароля через незарегистрированый email;;;
;;;1;Открыть https://open.kzn.ru/recover;Открыта страница восстановления пароля
;;;2;Ввести unregisteredEmail, нажать Enter;Cообщение с msgPasswordResetUnregisted
order.snd.0001;P;Попытка отправки заявки со валидным лицевым счётом;1;Открыть https://open.kzn.ru/sendorder;Открыта страница Подача заявки
;;sendOrderValidPersonalAccount;2;Ввести sendOrderValidPersonalAccount, enter;Сообщение без msgOrderPersonalAccountUnregistered
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
order.snd.0002;N;Добавление заявки с невалидным лицевым счётом;1;Открыть https://open.kzn.ru/sendorder;Открыта страница Подача заявки
;;;2;Перебрать все sendOrderInvalidValues, Enter;Сообщение с msgOrderPersonalAccountInvalid
